,Unnamed: 0,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
0,0,bao-bao-cafe-new-york-3,"[{'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'chinese', 'title': 'Chinese'}]","{'latitude': 40.70854, 'longitude': -74.01367}",(917) 261-7122,535.0760555174928,k8GFfCXO2FIIJIo0ICYSRA,https://s3-media4.fl.yelpcdn.com/bphoto/qcGY3eOU25cv-_WGhX4UEA/o.jpg,False,"{'address1': '106 Greenwich St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10006', 'country': 'US', 'state': 'NY', 'display_address': ['106 Greenwich St', 'New York, NY 10006']}",Bao Bao Cafe,19172617122.0,1,4.0,98,"['delivery', 'pickup']",https://www.yelp.com/biz/bao-bao-cafe-new-york-3?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
1,1,white-horse-tavern-financial-district-new-york,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]","{'latitude': 40.70372, 'longitude': -74.01237}",(212) 668-9046,686.3087375398935,lHGQM__w1x5Dxiq3aRPCTQ,https://s3-media2.fl.yelpcdn.com/bphoto/YV-yxNcjo9RzuTdNZnY4Ow/o.jpg,False,"{'address1': '25 Bridge St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['25 Bridge St', 'New York, NY 10004']}",White Horse Tavern - Financial District,12126689046.0,1,4.0,314,[],https://www.yelp.com/biz/white-horse-tavern-financial-district-new-york?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
2,2,veronicas-kitchen-new-york,"[{'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'foodstands', 'title': 'Food Stands'}, {'alias': 'trinidadian', 'title': 'Trinidadian'}]","{'latitude': 40.7056045963693, 'longitude': -74.0064248767212}",(917) 848-2465,335.4373425000942,0SqFgkdmfNWj9iUQgfghEA,https://s3-media4.fl.yelpcdn.com/bphoto/gbVCzIRaY1JrkVlTtMUfNQ/o.jpg,False,"{'address1': 'Front St & Pine St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10005', 'country': 'US', 'state': 'NY', 'display_address': ['Front St & Pine St', 'New York, NY 10005']}",Veronica's Kitchen,19178482465.0,1,4.0,155,[],https://www.yelp.com/biz/veronicas-kitchen-new-york?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
3,3,go-go-curry-new-york-10,"[{'alias': 'japacurry', 'title': 'Japanese Curry'}]","{'latitude': 40.7098966, 'longitude': -74.0090997}",(212) 406-5555,215.5515602603077,alFl7eiu6Go-YxZAdp88Fw,https://s3-media3.fl.yelpcdn.com/bphoto/RGLlv_DPHgM9naajV4nZQw/o.jpg,False,"{'address1': '12 John St', 'address2': '', 'address3': 'World Trade Center Stadium', 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['12 John St', 'World Trade Center Stadium', 'New York, NY 10038']}",Go! Go! Curry!,12124065555.0,1,4.0,336,"['delivery', 'pickup']",https://www.yelp.com/biz/go-go-curry-new-york-10?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
4,4,roti-modern-mediterranean-new-york,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}]","{'latitude': 40.706518, 'longitude': -74.007133}",(917) 338-3884,226.7447574272966,J4qehrNgX-8fi9-TTiVuBA,https://s3-media3.fl.yelpcdn.com/bphoto/uOnigGJISHRJN6KNQ4F-lw/o.jpg,False,"{'address1': '100 Maiden Ln', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['100 Maiden Ln', 'New York, NY 10038']}",Roti Modern Mediterranean,19173383884.0,1,4.0,232,"['delivery', 'pickup']",https://www.yelp.com/biz/roti-modern-mediterranean-new-york?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
5,5,stage-door-pizza-new-york,"[{'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 40.7120047333763, 'longitude': -74.0096561511938}",(212) 566-6222,433.7512170212792,7qYeyW9_dxnbaBCFUXGk_A,https://s3-media2.fl.yelpcdn.com/bphoto/G_R4NqV4mPa5ffR7kmuB9w/o.jpg,False,"{'address1': '26 Vesey St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10007', 'country': 'US', 'state': 'NY', 'display_address': ['26 Vesey St', 'New York, NY 10007']}",Stage Door Pizza,12125666222.0,1,4.0,224,"['delivery', 'pickup']",https://www.yelp.com/biz/stage-door-pizza-new-york?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
6,6,luckyim-thai-new-york,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'thai', 'title': 'Thai'}]","{'latitude': 40.7045699, 'longitude': -74.00886}",(929) 382-8537,458.6249356180535,I_YPy_YRtZFyWOSWs-gv4A,https://s3-media3.fl.yelpcdn.com/bphoto/aJ-lYs-cknkLwvq0m96yeg/o.jpg,False,"{'address1': '10 Hanover Sq', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10005', 'country': 'US', 'state': 'NY', 'display_address': ['10 Hanover Sq', 'New York, NY 10005']}",Luckyim Thai,19293828537.0,1,4.0,150,[],https://www.yelp.com/biz/luckyim-thai-new-york?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
7,7,naya-new-york-20,"[{'alias': 'lebanese', 'title': 'Lebanese'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]","{'latitude': 40.7023139, 'longitude': -74.0114968}",(212) 760-8888,818.4302826071721,R3fMQtSL0MrMUyW_Q32oNw,https://s3-media2.fl.yelpcdn.com/bphoto/CKnjbBJhHN9niRFvI2KCvw/o.jpg,False,"{'address1': 'One New York Plz', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['One New York Plz', 'New York, NY 10004']}",NAYA,12127608888.0,1,4.5,108,"['delivery', 'pickup']",https://www.yelp.com/biz/naya-new-york-20?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
8,8,sakura-of-japan-new-york,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'foodstands', 'title': 'Food Stands'}]","{'latitude': 40.70972, 'longitude': -74.00854}",(212) 775-8540,170.64600783075315,P_RNungaIf6FZdzEWkoQ0g,https://s3-media2.fl.yelpcdn.com/bphoto/GKSS2rtns3vnr0cKVtyqfQ/o.jpg,False,"{'address1': '29 John St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['29 John St', 'New York, NY 10038']}",Sakura of Japan,12127758540.0,1,4.0,122,"['delivery', 'pickup']",https://www.yelp.com/biz/sakura-of-japan-new-york?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
9,9,tomorrow-new-york,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'latitude': 40.707425, 'longitude': -74.004785}",(917) 261-7445,243.0841115284361,8xDbEfYXuPwi-94LLcb22A,https://s3-media2.fl.yelpcdn.com/bphoto/CVOeDs2Xccuj-mmnAa1s4g/o.jpg,False,"{'address1': '200 Pearl St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['200 Pearl St', 'New York, NY 10038']}",Tomorrow,19172617445.0,1,3.5,77,"['delivery', 'pickup']",https://www.yelp.com/biz/tomorrow-new-york?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
