,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
0,sugar-momma-new-york-3,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 40.70837, 'longitude': -74.00563}",(212) 602-9991,139.2834682252321,y1192qiuwi3m0tqdt1Dh7g,https://s3-media2.fl.yelpcdn.com/bphoto/qwNoq8j876GhrU8ZKXLScA/o.jpg,False,"{'address1': '15 Cliff St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['15 Cliff St', 'New York, NY 10038']}",Sugar Momma,+12126029991,$$,4.5,35,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/sugar-momma-new-york-3?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
1,suspenders-restaurant-and-bar-new-york-2,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]","{'latitude': 40.70861, 'longitude': -74.01362}",(212) 732-5005,535.0965272809467,q2VwOuFDRJyIUfUFy8HQzg,https://s3-media2.fl.yelpcdn.com/bphoto/xDX4qHu_xVJgi74_SxUrSg/o.jpg,False,"{'address1': '108 Greenwich St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10006', 'country': 'US', 'state': 'NY', 'display_address': ['108 Greenwich St', 'New York, NY 10006']}",Suspenders Restaurant & Bar,+12127325005,$$,4.0,215,['restaurant_reservation'],https://www.yelp.com/biz/suspenders-restaurant-and-bar-new-york-2?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
2,sauce-and-barrel-new-york,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 40.707999, 'longitude': -74.0142651}",(212) 480-6800,601.144538077572,0laCKZiHrdM_ZKdhTFbGgg,https://s3-media1.fl.yelpcdn.com/bphoto/KhDhqOv7XJOvvojQ_tsb9w/o.jpg,False,"{'address1': '97 Washington St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10006', 'country': 'US', 'state': 'NY', 'display_address': ['97 Washington St', 'New York, NY 10006']}",Sauce & Barrel,+12124806800,$$,4.0,281,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/sauce-and-barrel-new-york?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
3,da-claudio-new-york,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 40.71087, 'longitude': -74.00753}",(212) 285-2668,261.82598292297973,f8ipr8Wdy1_wHhw7JgNqPQ,https://s3-media3.fl.yelpcdn.com/bphoto/XLxqA77QYDZwKS_h6tGdWw/o.jpg,False,"{'address1': '21 Ann St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['21 Ann St', 'New York, NY 10038']}",Da Claudio,+12122852668,$$,4.0,378,"['delivery', 'pickup']",https://www.yelp.com/biz/da-claudio-new-york?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
4,lukes-lobster-fidi-new-york,"[{'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 40.7046213003984, 'longitude': -74.0107793876969}",(212) 747-1700,528.8284246916819,kxykwx5qTWBhlMh18MQ82Q,https://s3-media2.fl.yelpcdn.com/bphoto/C5NV5lfsLo2nJDkx3Or9ig/o.jpg,False,"{'address1': '26 S William St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['26 S William St', 'New York, NY 10004']}",Luke's Lobster FiDi,+12127471700,$$,4.5,1016,"['delivery', 'pickup']",https://www.yelp.com/biz/lukes-lobster-fidi-new-york?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
5,clinton-hall-new-york,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'beergardens', 'title': 'Beer Gardens'}]","{'latitude': 40.70803, 'longitude': -74.014869}",(212) 363-6000,644.5491425359686,nm5rcWNmfevNXLNQAITi5w,https://s3-media1.fl.yelpcdn.com/bphoto/jkOeBmGbclLyY3zbOa7COw/o.jpg,False,"{'address1': '90 Washington St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10006', 'country': 'US', 'state': 'NY', 'display_address': ['90 Washington St', 'New York, NY 10006']}",Clinton Hall,+12123636000,$$,4.0,541,"['delivery', 'pickup']",https://www.yelp.com/biz/clinton-hall-new-york?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
6,felice-new-york-6,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]","{'latitude': 40.70789, 'longitude': -74.00712}",(212) 785-5950,75.63810324901205,fuS39acPaRi38DhSSwEI4Q,https://s3-media4.fl.yelpcdn.com/bphoto/CnxCPRh--bS9-SqC9il0tQ/o.jpg,False,"{'address1': '15 Gold St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['15 Gold St', 'New York, NY 10038']}",Felice,+12127855950,$$,4.0,298,"['delivery', 'pickup']",https://www.yelp.com/biz/felice-new-york-6?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
7,adriennes-pizzabar-new-york,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]","{'latitude': 40.7043362, 'longitude': -74.0101733}",(212) 248-3838,529.7569451626911,yH6t1JWcwkdWG4CS5KPvow,https://s3-media4.fl.yelpcdn.com/bphoto/MOG8wpqkeYQxDslq7ospLw/o.jpg,False,"{'address1': '54 Stone St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['54 Stone St', 'New York, NY 10004']}",Adrienne's Pizzabar,+12122483838,$$,4.0,1500,"['delivery', 'pickup']",https://www.yelp.com/biz/adriennes-pizzabar-new-york?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
8,the-malt-house-new-york-3,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 40.709659, 'longitude': -74.009262}",(646) 682-7577,211.6485157564821,ohLIPmzTysowInbte9XhMw,https://s3-media4.fl.yelpcdn.com/bphoto/wxCetW7aHVatpcEf11RLgA/o.jpg,False,"{'address1': '9 Maiden Ln', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['9 Maiden Ln', 'New York, NY 10038']}",The Malt House,+16466827577,$$,4.0,418,"['delivery', 'pickup']",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
9,upstate-new-york-2,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]","{'latitude': 40.7263139141197, 'longitude': -73.9864901976935}",(646) 791-5400,2638.4807891894425,ehUuSk5gPTCQmwS_ubgKRA,https://s3-media1.fl.yelpcdn.com/bphoto/RvnUVU7MF7DT0RzNL-EebQ/o.jpg,False,"{'address1': '95 1st Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['95 1st Ave', 'New York, NY 10003']}",Upstate,+16467915400,$$,4.5,1666,['restaurant_reservation'],https://www.yelp.com/biz/upstate-new-york-2?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
