,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
0,antica-ristorante-new-york,"[{'alias': 'italian', 'title': 'Italian'}]","{'latitude': 40.7039355145338, 'longitude': -74.0121731758117}",(212) 480-3880,660.1684413045818,0Tvwk0hvgaY0QVIsZGTZKQ,https://s3-media3.fl.yelpcdn.com/bphoto/uORVHkBn9xrLR6yQYtl7Yg/o.jpg,False,"{'address1': '8 Stone St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['8 Stone St', 'New York, NY 10004']}",Antica Ristorante,+12124803880,$$$,4.5,425,"['delivery', 'restaurant_reservation', 'pickup']",https://www.yelp.com/biz/antica-ristorante-new-york?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
1,suteishi-new-york,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]","{'latitude': 40.70788, 'longitude': -74.00194}",(212) 766-2344,454.842536121203,VaL9GaBR_GR-q9d1VzJF3g,https://s3-media1.fl.yelpcdn.com/bphoto/YEpRTAWG3xlGrLV3sFFohQ/o.jpg,False,"{'address1': '24 Peck Slip', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['24 Peck Slip', 'New York, NY 10038']}",Suteishi,+12127662344,$$$,4.0,440,"['delivery', 'restaurant_reservation', 'pickup']",https://www.yelp.com/biz/suteishi-new-york?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
2,schilling-new-york,"[{'alias': 'austrian', 'title': 'Austrian'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 40.70857, 'longitude': -74.014}",(212) 406-1200,566.0312537963207,ZgyvDF_hOWas3SXe0Hj7hA,https://s3-media1.fl.yelpcdn.com/bphoto/4VZAQADQQebHoqQf5gkbJg/o.jpg,False,"{'address1': '109 Washington St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10006', 'country': 'US', 'state': 'NY', 'display_address': ['109 Washington St', 'New York, NY 10006']}",Schilling,+12124061200,$$$,4.0,119,[],https://www.yelp.com/biz/schilling-new-york?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
3,the-capital-grille-new-york-3,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]","{'latitude': 40.7078813982786, 'longitude': -74.0102026698364}",(212) 374-1811,259.61697650115633,ud4-0gH8YlAExTBJoADPtw,https://s3-media1.fl.yelpcdn.com/bphoto/WVNp-ApSvbIAvu7Iggbfrg/o.jpg,False,"{'address1': '120 Broadway', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10271', 'country': 'US', 'state': 'NY', 'display_address': ['120 Broadway', 'New York, NY 10271']}",The Capital Grille,+12123741811,$$$,4.0,537,[],https://www.yelp.com/biz/the-capital-grille-new-york-3?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
4,augustine-new-york,"[{'alias': 'french', 'title': 'French'}, {'alias': 'brasseries', 'title': 'Brasseries'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 40.71141, 'longitude': -74.006814}",(212) 375-0010,319.6039629519309,FyFeyjndrXHDnN-z9-qv_w,https://s3-media1.fl.yelpcdn.com/bphoto/nwUZSeNgm4udms5nbWvyaw/o.jpg,False,"{'address1': '5 Beekman St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['5 Beekman St', 'New York, NY 10038']}",Augustine,+12123750010,$$$,3.5,195,[],https://www.yelp.com/biz/augustine-new-york?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
5,blacktail-new-york,"[{'alias': 'cuban', 'title': 'Cuban'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 40.7044769199104, 'longitude': -74.0174372308775}",(212) 785-0153,970.8173353718433,kEC66zgpguVsizQeCAJoCg,https://s3-media4.fl.yelpcdn.com/bphoto/lfDVZ939qlnB9cWjkcFSGw/o.jpg,False,"{'address1': '22 Battery Pl', 'address2': None, 'address3': 'Fl 2 Pier A', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['22 Battery Pl', 'Fl 2 Pier A', 'New York, NY 10004']}",BlackTail,+12127850153,$$$,4.5,236,[],https://www.yelp.com/biz/blacktail-new-york?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
6,brooklyn-chop-house-new-york-3,"[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'steak', 'title': 'Steakhouses'}]","{'latitude': 40.7115099, 'longitude': -74.00597}",(212) 619-1200,341.4956779714612,A0saPXtRGKl-SVJGQyQAOw,https://s3-media2.fl.yelpcdn.com/bphoto/26-q_QDBSKLNrSJ4GI6AxQ/o.jpg,False,"{'address1': '150 Nassau St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['150 Nassau St', 'New York, NY 10038']}",Brooklyn Chop House,+12126191200,$$$,3.5,148,"['delivery', 'pickup']",https://www.yelp.com/biz/brooklyn-chop-house-new-york-3?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
7,harrys-new-york-3,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 40.704512, 'longitude': -74.009834}",(212) 785-9200,485.2566042011278,pNYcGGAj4AYaExlmrEmfUw,https://s3-media2.fl.yelpcdn.com/bphoto/2DjOYso4CjyU_piI6huR2Q/o.jpg,False,"{'address1': '1 Hanover Sq', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['1 Hanover Sq', 'New York, NY 10004']}",Harry's,+12127859200,$$$,4.0,628,"['delivery', 'pickup']",https://www.yelp.com/biz/harrys-new-york-3?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
8,battello-jersey-city-3,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'lounges', 'title': 'Lounges'}]","{'latitude': 40.7254501288668, 'longitude': -74.0325578867018}",(201) 798-1798,2842.065997541773,T_vLaKsuyJPDpsrSZuc7WA,https://s3-media4.fl.yelpcdn.com/bphoto/GaE5_x4CBF7n_Nbd1Z2Dhw/o.jpg,False,"{'address1': '502 Washington Blvd', 'address2': None, 'address3': '', 'city': 'Jersey City', 'zip_code': '07310', 'country': 'US', 'state': 'NJ', 'display_address': ['502 Washington Blvd', 'Jersey City, NJ 07310']}",Battello,+12017981798,$$$,4.0,407,[],https://www.yelp.com/biz/battello-jersey-city-3?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
9,blue-ribbon-federal-grill-new-york,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 40.70803, 'longitude': -74.00785}",(212) 337-0404,72.995673770596,ZQ-dG0tuqniCmfJ2mptRpQ,https://s3-media2.fl.yelpcdn.com/bphoto/jPbxWaeVOiQfnPR5MKSJIw/o.jpg,False,"{'address1': '84 William St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['84 William St', 'New York, NY 10038']}",Blue Ribbon Federal Grill,+12123370404,$$$,4.0,73,"['delivery', 'pickup']",https://www.yelp.com/biz/blue-ribbon-federal-grill-new-york?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
10,grand-seoul-new-york-2,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}]","{'latitude': 40.7175, 'longitude': -73.99435}",(212) 226-5555,1473.1688058588538,QSWH-i8I4Rp1mWvXRIaFqQ,https://s3-media2.fl.yelpcdn.com/bphoto/aWIdrFtyK0rpH8miE_I3Ig/o.jpg,False,"{'address1': '85 Chrystie St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['85 Chrystie St', 'New York, NY 10002']}",Grand Seoul,+12122265555,$$$,4.5,66,['restaurant_reservation'],https://www.yelp.com/biz/grand-seoul-new-york-2?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
11,la-sirene-new-york,"[{'alias': 'french', 'title': 'French'}]","{'latitude': 40.7243642217227, 'longitude': -74.005708694458}",(212) 925-3061,1762.7062329227526,FiRB9Ek3Xo9JHwXgBYITYg,https://s3-media4.fl.yelpcdn.com/bphoto/RsDpYmM0azJa4f7cot5Z0g/o.jpg,False,"{'address1': '558 Broome St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['558 Broome St', 'New York, NY 10013']}",La Sirene,+12129253061,$$$,4.5,1552,[],https://www.yelp.com/biz/la-sirene-new-york?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
12,gran-morsi-new-york,"[{'alias': 'italian', 'title': 'Italian'}]","{'latitude': 40.7142052394856, 'longitude': -74.0077535494539}",(212) 577-2725,629.6758028517532,xKIv_b2L2pUHmsoJ-xOepg,https://s3-media1.fl.yelpcdn.com/bphoto/BChjkbnfKJNTKq_pwyB6cA/o.jpg,False,"{'address1': '22 Warren St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10007', 'country': 'US', 'state': 'NY', 'display_address': ['22 Warren St', 'New York, NY 10007']}",Gran Morsi,+12125772725,$$$,4.5,298,"['delivery', 'pickup']",https://www.yelp.com/biz/gran-morsi-new-york?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
13,mortons-the-steakhouse-new-york-9,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 40.7097005194611, 'longitude': -74.0139538049698}",(212) 608-0171,578.9333552215819,suEoAFFWEj-RA3smDVqDbA,https://s3-media4.fl.yelpcdn.com/bphoto/Tgdh_qYZsjVefgR2V5BRjQ/o.jpg,False,"{'address1': '136 Washington St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10006', 'country': 'US', 'state': 'NY', 'display_address': ['136 Washington St', 'New York, NY 10006']}",Morton's The Steakhouse,+12126080171,$$$,4.0,198,"['delivery', 'pickup']",https://www.yelp.com/biz/mortons-the-steakhouse-new-york-9?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
14,marc-forgione-new-york-2,"[{'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 40.71647, 'longitude': -74.0095599}",(212) 941-9401,910.6013316555094,DRitJoNGTkHXZvH_YpLIAw,https://s3-media4.fl.yelpcdn.com/bphoto/WV5A7i06imvcvFQJIMPfQA/o.jpg,False,"{'address1': '134 Reade St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['134 Reade St', 'New York, NY 10013']}",Marc Forgione,+12129419401,$$$,4.0,876,[],https://www.yelp.com/biz/marc-forgione-new-york-2?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
15,the-tuck-room-new-york,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 40.70654, 'longitude': -74.00325}",(212) 776-8273,410.4500469944341,WoAvunLY0_L0ix8Vgit8gQ,https://s3-media3.fl.yelpcdn.com/bphoto/CTDRMIq5RVEXXO5jjwSW3Q/o.jpg,False,"{'address1': '11 Fulton St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['11 Fulton St', 'New York, NY 10038']}",The Tuck Room,+12127768273,$$$,4.0,198,[],https://www.yelp.com/biz/the-tuck-room-new-york?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
16,chouchou-new-york-2,"[{'alias': 'moroccan', 'title': 'Moroccan'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]","{'latitude': 40.72379, 'longitude': -73.9835}",(646) 869-1423,2640.303421672977,ROinSW0fMmphATjgkTXfeQ,https://s3-media2.fl.yelpcdn.com/bphoto/EHE6kTuEDforKxGX7wNLSQ/o.jpg,False,"{'address1': '215 E 4th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['215 E 4th St', 'New York, NY 10009']}",Chouchou,+16468691423,$$$,4.0,91,"['delivery', 'restaurant_reservation', 'pickup']",https://www.yelp.com/biz/chouchou-new-york-2?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
17,beauty-and-essex-new-york,"[{'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 40.72037, 'longitude': -73.98677}",(212) 614-0146,2165.3312224110864,pfmAcS-g6SiNG0KlLvrqnA,https://s3-media3.fl.yelpcdn.com/bphoto/T0KCvQyqHSClgUQhO02slQ/o.jpg,False,"{'address1': '146 Essex St', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['146 Essex St', 'New York, NY 10002']}",Beauty & Essex,+12126140146,$$$,4.0,3175,"['delivery', 'pickup']",https://www.yelp.com/biz/beauty-and-essex-new-york?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
18,gato-new-york,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 40.7255312, 'longitude': -73.9951947}",(212) 334-6400,2143.858792073655,Ve9eysLcTjGLbKp7tjOd9w,https://s3-media2.fl.yelpcdn.com/bphoto/NWHVn1YjJJWxJOvyge13JA/o.jpg,False,"{'address1': '324 Lafayette St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['324 Lafayette St', 'New York, NY 10012']}",Gato,+12123346400,$$$,4.0,1039,[],https://www.yelp.com/biz/gato-new-york?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
19,oiji-new-york,"[{'alias': 'korean', 'title': 'Korean'}]","{'latitude': 40.72727, 'longitude': -73.98585}",(646) 767-9050,2754.2751692767642,FsuJ7VC5vxX3wcLhFrb97Q,https://s3-media3.fl.yelpcdn.com/bphoto/iezlsyyudvnWjbnAkqPgtw/o.jpg,False,"{'address1': '119 1st Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['119 1st Ave', 'New York, NY 10003']}",Oiji,+16467679050,$$$,4.5,450,[],https://www.yelp.com/biz/oiji-new-york?adjust_creative=tE7T-Ahc0yXhWwmHIrO-Gg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tE7T-Ahc0yXhWwmHIrO-Gg
